age,gender,A_total,O_total,C_total,E_total,N_total
15,1,30,36,35,31,29
18,2,34,35,35,30,31
21,1,31,30,33,33,23
17,2,27,26,26,27,29
18,2,30,33,29,32,29
14,2,32,38,34,27,43
17,2,35,33,32,30,31
16,2,33,35,35,28,36
24,2,31,32,31,29,26
21,2,29,29,28,35,24
27,1,33,34,34,35,33
19,2,39,36,34,36,32
21,2,31,33,31,32,27
19,2,37,33,30,30,28
17,2,31,35,29,28,34
21,1,33,26,31,29,33
17,2,32,33,32,31,36
34,1,27,28,29,32,30
36,1,33,37,35,25,36
25,2,29,35,28,31,29
18,2,29,31,26,27,24
21,2,35,30,28,35,41
38,2,33,33,29,31,25
58,2,34,37,29,30,29
17,1,30,32,28,32,36
40,1,38,39,31,35,41
21,2,32,30,30,30,29
26,2,28,30,34,32,26
22,2,33,34,28,30,37
18,2,33,34,32,34,32
63,1,30,26,30,32,37
17,2,39,24,27,33,20
17,2,27,36,27,32,32
17,2,33,26,30,32,20
17,1,35,36,28,32,34
68,1,33,38,33,29,19
35,2,34,33,38,32,34
62,2,34,38,38,30,26
36,1,28,33,38,24,26
27,2,29,34,34,24,24
36,1,30,33,32,32,40
18,2,39,32,32,35,35
32,2,35,33,31,30,31
20,2,32,35,35,30,31
40,1,29,37,31,31,24
14,2,34,28,25,34,25
17,2,32,28,36,33,33
52,1,32,36,35,31,22
16,2,34,38,28,27,34
33,1,32,28,26,28,21
30,2,35,37,35,32,41
29,1,31,29,31,29,31
27,2,27,38,36,29,36
20,2,29,30,26,29,30
23,1,28,25,31,29,35
17,2,32,38,29,35,33
25,1,31,36,25,33,40
32,2,36,35,31,24,32
37,1,34,30,37,26,34
31,2,32,33,32,28,17
33,1,37,36,29,36,41
20,1,30,38,28,25,38
25,2,36,36,36,34,35
44,2,34,37,34,32,25
36,1,29,36,32,36,26
27,2,29,37,28,30,32
59,2,30,27,30,31,25
25,2,37,34,35,32,43
19,2,32,29,30,33,38
48,1,30,34,29,23,26
49,1,34,33,25,29,26
22,1,29,30,31,29,23
21,1,32,30,32,36,25
27,1,29,33,33,31,29
40,2,32,34,32,30,33
16,2,38,32,26,30,31
28,1,32,27,32,38,34
29,1,38,30,29,30,36
23,2,33,35,28,30,31
39,1,33,31,33,35,34
20,1,25,33,33,28,34
17,2,33,33,34,33,35
27,2,30,33,27,30,25
13,2,27,29,22,29,32
49,2,29,33,27,27,29
50,2,30,34,28,32,27
19,2,37,31,37,35,41
50,1,34,39,30,30,36
19,2,31,35,34,27,28
26,2,37,36,32,29,37
16,2,27,34,33,30,24
42,2,38,33,32,26,30
19,1,30,32,30,29,35
16,1,37,37,32,33,29
20,1,30,35,28,30,22
38,2,29,40,38,29,27
44,1,32,31,35,31,27
63,1,32,35,35,32,38
19,1,28,33,33,37,21
23,1,30,30,30,30,30
34,1,29,33,36,31,42
31,1,31,35,24,31,35
23,1,37,39,22,34,43
21,1,30,33,31,34,41
39,2,34,35,32,27,41
55,1,34,34,32,31,31
18,1,25,32,27,29,34
24,2,32,30,29,32,28
44,2,31,34,33,28,26
40,2,31,34,26,30,25
42,1,32,33,34,29,36
15,2,35,36,38,29,34
37,1,35,38,37,35,39
53,2,33,35,36,35,31
16,2,31,30,31,33,20
26,1,31,34,31,31,34
23,2,37,35,33,36,32
19,2,31,28,26,29,37
22,1,26,33,35,34,28
20,2,29,31,29,29,33
46,2,34,37,31,31,31
21,2,28,37,34,28,37
39,2,35,34,36,33,25
21,2,31,36,28,30,26
23,1,30,36,29,30,18
14,2,35,33,28,31,33
50,2,33,34,36,30,27
16,2,32,29,32,34,27
17,2,30,33,32,25,36
24,2,35,38,30,26,35
42,2,31,39,32,26,39
36,2,34,37,33,26,36
19,2,34,34,28,30,38
21,2,29,40,33,30,33
42,2,32,37,32,31,32
20,2,31,30,26,29,28
17,2,33,35,27,31,35
22,2,31,34,32,27,33
26,1,38,33,32,31,34
19,1,28,32,30,33,26
50,1,27,38,33,26,28
36,1,27,32,29,28,33
42,2,33,37,36,33,26
14,2,32,36,32,29,38
32,1,38,35,34,36,36
36,2,30,28,30,29,35
20,2,29,34,37,30,35
39,1,30,37,28,26,23
57,2,33,38,30,26,26
14,2,28,38,37,28,26
25,2,35,34,29,30,35
16,2,34,39,38,27,34
21,2,33,30,39,37,43
57,2,27,38,30,29,29
39,2,27,32,22,36,24
23,2,32,37,32,28,35
58,2,32,36,33,32,34
54,2,30,36,27,32,28
19,1,27,34,32,32,30
21,1,32,31,32,29,30
56,1,31,38,34,35,43
16,2,34,36,34,34,36
14,2,33,31,24,29,42
52,1,36,33,35,32,43
25,2,33,35,26,31,24
22,2,29,36,29,33,19
32,2,34,34,35,32,29
20,2,39,34,28,31,39
48,2,33,38,27,32,18
25,1,29,34,30,30,23
20,2,35,28,30,33,24
19,2,31,31,36,32,37
36,2,33,37,28,31,26
36,2,30,36,37,29,37
13,1,33,33,28,32,30
35,2,38,33,32,34,23
16,2,31,30,31,31,40
24,1,29,33,34,28,19
57,2,34,32,34,30,29
51,1,33,35,28,33,28
24,2,29,36,34,35,33
19,2,36,31,37,31,41
27,1,36,38,36,30,43
24,2,29,29,31,31,31
14,2,31,36,36,31,34
38,2,30,32,31,30,35
22,1,33,34,24,32,36
17,2,29,27,31,31,34
26,1,37,35,34,28,33
17,2,37,36,30,28,37
24,2,32,25,28,33,27
49,2,36,31,29,29,26
30,2,34,31,31,31,28
15,2,31,34,30,26,30
23,2,35,29,31,31,27
23,1,31,38,33,32,35
29,2,33,30,32,27,33
22,2,32,29,30,29,21
18,2,31,35,28,27,27
29,2,29,38,32,36,33
21,2,32,33,33,26,34
56,2,28,29,22,28,36
17,2,34,24,25,31,32
36,1,31,32,34,35,19
18,2,34,32,28,33,18
19,1,32,38,31,30,24
21,2,29,26,31,30,29
20,2,38,30,32,36,38
23,1,33,32,33,33,29
21,1,30,32,28,35,30
43,2,30,32,30,27,24
22,2,34,36,33,29,19
23,1,33,33,30,37,29
20,2,38,36,35,32,37
26,2,34,36,36,33,37
29,2,32,34,31,31,29
41,1,28,30,34,30,25
21,2,36,35,32,37,37
16,2,31,32,32,30,31
19,1,36,29,33,35,41
18,2,31,36,32,26,40
34,1,32,33,39,32,31
50,2,30,30,34,30,38
18,1,32,36,31,36,36
30,2,33,29,28,28,37
14,2,35,33,29,34,31
32,1,32,28,31,29,23
32,1,33,28,31,27,33
24,2,32,26,35,29,39
21,2,28,29,34,30,22
27,2,31,33,30,30,30
22,1,34,29,22,32,21
16,1,30,27,34,32,36
16,2,29,35,32,31,39
55,2,34,38,34,30,24
61,1,26,37,33,33,25
44,1,35,34,30,30,28
15,2,38,34,38,30,42
57,2,32,34,30,26,18
18,2,31,27,27,27,23
42,2,34,40,35,32,18
41,1,25,33,29,26,18
21,2,33,34,38,32,42
32,2,34,34,34,30,34
19,1,31,33,28,28,32
31,2,31,34,32,28,21
40,1,30,35,32,31,36
37,1,32,27,33,35,26
23,2,30,32,27,33,30
28,1,29,38,24,29,21
27,2,36,32,39,29,37
16,2,32,31,30,25,30
41,2,29,32,29,33,29
27,1,33,38,33,28,23
16,2,29,34,31,31,42
67,1,31,35,31,32,23
45,2,32,33,27,30,39
14,2,28,28,32,28,39
43,1,28,27,32,29,24
13,1,30,31,26,30,37
41,2,37,38,29,31,28
34,1,30,33,33,30,25
19,1,34,29,30,33,35
33,2,34,31,33,26,26
36,2,35,30,37,30,26
30,2,29,36,30,30,30
31,2,30,29,25,32,41
20,1,28,33,28,30,20
29,1,24,31,30,25,26
23,1,37,34,31,32,33
20,2,32,37,34,28,27
45,2,27,34,33,30,25
57,1,38,34,29,32,20
17,1,30,34,29,24,33
19,2,33,37,30,31,36
44,1,36,27,26,33,32
22,2,33,27,26,31,23
1997,2,31,24,25,29,30
33,1,34,34,24,33,36
17,1,30,31,32,32,38
16,2,32,26,31,32,36
14,1,34,37,30,23,29
23,1,34,32,31,30,30
